Year,Qtr4,CPIAUCSL,VSL_1,VSL_2,VSL_3,VSL_4,VSL_5
1999,94.39776,66.53394,4.735542105686129,11.940150282518768,12.231373460141178,10.218134971360175,4.343023909760273
2000,94.11765,68.829580000000007,4.800384610876792,12.10364355095405,12.398854369270003,10.358049146998853,4.40249176879877
2001,95.79832,70.29404,4.93435351760543,12.44143146283936,12.744881010713492,10.647121092801022,4.525356300905515
2002,94.67787,71.71892,4.92083449964234,12.407344741076809,12.709962905493319,10.617950377570503,4.512957843254874
2003,94.67787,73.18338,4.963991712949988,12.516160923293684,12.821433140934994,10.711073027675507,4.5525378543899615
2004,94.95798,75.5186,5.042939907579778,12.715220141304096,13.025347461823706,10.881423811275084,4.624942214705519
2005,93.27731,78.80373,5.032757129441694,12.689545382522772,12.99904648941357,10.85945188090761,4.615603463632355
2006,94.67787,79.91197,5.132795573865744,12.941781353356674,13.257434557097081,11.075310235587315,4.707349951433022
2007,93.55742,82.79735,5.12892131800831,12.932012841930044,13.247427789294193,11.066950544472476,4.703796823734895
2008,95.79832,85.88657,5.304126128863346,13.373772565556509,13.699962140326182,11.444999427788021,4.864479310695528
2009,96.91877,85.69421,5.363169640316142,13.522644307000323,13.852464899853993,11.572400801430819,4.918628841252504
2010,96.35854,86.694,5.347195859634934,13.482368170149046,13.811206418201463,11.537933312099979,4.903979090520809
2011,94.67787,89.7476,5.292407862447025,13.344226241410544,13.669695174127877,11.41971429142981,4.853732344436709
2012,94.11765,91.68227,5.280194419993722,13.313431385171338,13.638149223834052,11.393360686991803,4.842531246143976
2013,94.39776,92.48614,5.302695983577465,13.370166610998794,13.6962682356573,11.441913526061533,4.863167706863824
2014,94.67787,93.97474,5.329210675428562,13.437020499810515,13.764752707122968,11.499125708745586,4.887484656876995
2015,97.47899,94.09467,5.487667549836667,13.836552137689777,14.174029019096844,11.8410366650219,5.032807405331488
2016,98.31933,95.64145,5.543793305195384,13.978067077003333,14.318995542296099,11.962142238750468,5.084281025887745
2017,97.19888,97.59235,5.4878643534730545,13.837048356484196,14.17453734078869,11.841461318857634,5.032987896366999
2018,100,100.04908,5.6492894458484475,14.244064030575093,14.591480226442778,12.189776959357477,5.181032834026784
