DATE,LEU0252881600Q_NBD20181001
1979-01-01,94.95798
1979-04-01,93.55742
1979-07-01,91.03641
1979-10-01,91.87675
1980-01-01,90.75630
1980-04-01,87.95518
1980-07-01,88.23529
1980-10-01,88.79552
1981-01-01,88.79552
1981-04-01,87.11485
1981-07-01,85.15406
1981-10-01,87.95518
1982-01-01,88.23529
1982-04-01,87.95518
1982-07-01,85.71429
1982-10-01,88.23529
1983-01-01,89.07563
1983-04-01,87.95518
1983-07-01,86.83473
1983-10-01,87.95518
1984-01-01,88.51541
1984-04-01,87.39496
1984-07-01,86.27451
1984-10-01,89.07563
1985-01-01,88.79552
1985-04-01,90.47619
1985-07-01,88.23529
1985-10-01,90.19608
1986-01-01,90.75630
1986-04-01,91.87675
1986-07-01,90.19608
1986-10-01,93.27731
1987-01-01,92.71709
1987-04-01,91.87675
1987-07-01,90.75630
1987-10-01,92.43697
1988-01-01,92.99720
1988-04-01,91.03641
1988-07-01,89.63585
1988-10-01,91.31653
1989-01-01,91.31653
1989-04-01,90.19608
1989-07-01,88.79552
1989-10-01,90.75630
1990-01-01,90.47619
1990-04-01,89.07563
1990-07-01,86.55462
1990-10-01,87.67507
1991-01-01,89.63585
1991-04-01,87.11485
1991-07-01,86.27451
1991-10-01,87.95518
1992-01-01,89.35574
1992-04-01,87.39496
1992-07-01,86.83473
1992-10-01,87.95518
1993-01-01,89.35574
1993-04-01,88.51541
1993-07-01,88.23529
1993-10-01,89.63585
1994-01-01,89.63585
1994-04-01,88.23529
1994-07-01,86.83473
1994-10-01,88.51541
1995-01-01,88.79552
1995-04-01,87.39496
1995-07-01,87.67507
1995-10-01,88.23529
1996-01-01,88.23529
1996-04-01,87.11485
1996-07-01,86.83473
1996-10-01,88.23529
1997-01-01,88.51541
1997-04-01,87.11485
1997-07-01,86.83473
1997-10-01,88.51541
1998-01-01,90.19608
1998-04-01,88.51541
1998-07-01,89.07563
1998-10-01,92.43697
1999-01-01,91.59664
1999-04-01,91.59664
1999-07-01,91.59664
1999-10-01,94.39776
2000-01-01,94.39776
2000-04-01,92.99720
2000-07-01,92.71709
2000-10-01,94.11765
2001-01-01,93.83754
2001-04-01,93.27731
2001-07-01,93.83754
2001-10-01,95.79832
2002-01-01,96.35854
2002-04-01,94.39776
2002-07-01,93.55742
2002-10-01,94.67787
2003-01-01,94.95798
2003-04-01,93.83754
2003-07-01,93.83754
2003-10-01,94.67787
2004-01-01,95.23810
2004-04-01,94.67787
2004-07-01,93.27731
2004-10-01,94.95798
2005-01-01,95.23810
2005-04-01,92.71709
2005-07-01,92.15686
2005-10-01,93.27731
2006-01-01,94.11765
2006-04-01,91.31653
2006-07-01,92.99720
2006-10-01,94.67787
2007-01-01,95.23810
2007-04-01,92.99720
2007-07-01,93.55742
2007-10-01,93.55742
2008-01-01,94.95798
2008-04-01,92.99720
2008-07-01,92.15686
2008-10-01,95.79832
2009-01-01,97.47899
2009-04-01,95.79832
2009-07-01,95.79832
2009-10-01,96.91877
2010-01-01,97.19888
2010-04-01,95.23810
2010-07-01,94.95798
2010-10-01,96.35854
2011-01-01,95.51821
2011-04-01,93.55742
2011-07-01,92.99720
2011-10-01,94.67787
2012-01-01,94.39776
2012-04-01,93.83754
2012-07-01,92.15686
2012-10-01,94.11765
2013-01-01,93.55742
2013-04-01,93.27731
2013-07-01,92.43697
2013-10-01,94.39776
2014-01-01,94.95798
2014-04-01,91.87675
2014-07-01,92.99720
2014-10-01,94.67787
2015-01-01,96.35854
2015-04-01,94.39776
2015-07-01,94.39776
2015-10-01,97.47899
2016-01-01,98.03922
2016-04-01,96.07843
2016-07-01,96.07843
2016-10-01,98.31933
2017-01-01,99.43978
2017-04-01,98.31933
2017-07-01,98.03922
2017-10-01,97.19888
2018-01-01,99.15966
2018-04-01,97.47899
2018-07-01,98.59944
2018-10-01,100.00000
2019-01-01,100.28011
2019-04-01,99.43978
2019-07-01,100.28011
2019-10-01,101.96078
