Year,cost,Pop,cost_pc
2007,277374.30241134966,301231207,920.802015082553
2008,304783.0179328644,304093966,1002.2659178079987
2009,318543.33814634476,306771529,1038.3732127447354
2010,324422.44156219513,309326085,1048.8040203987166
2011,348257.9274817131,311580009,1117.7158913353555
2012,345856.0022881542,313874218,1101.8936327167662
2013,359827.0871968519,316057727,1138.485334980758
2014,397369.3184998313,318386421,1248.0724437045992
2015,458234.6630250001,320742673,1428.6675943023024
2016,574204.6308028834,323071342,1777.3307506887547
2017,624429.1239543163,325147121,1920.4510316249002
2018,601570.6297081929,327167434,1838.7240513314441
